Random ID,Term,Course Abbrevation,Course Number,course,level
311877,Spring 2022,GEOL,1009,GEOL 1009,1000
311877,Fall 2021,ENGL,1109,ENGL 1109,1000
311877,Spring 2022,GEOL,1009,GEOL 1009,1000
311877,Fall 2021,CSUB,1029,CSUB 1029,1000
311877,Fall 2021,PHIL,1119,PHIL 1119,1000
311877,Fall 2021,SOC,1008,SOC 1008,1000
312657,Fall 2021,GEOL,1009,GEOL 1009,1000
312657,Spring 2022,MATH,1209,MATH 1209,1000
312657,Spring 2022,ETHS,1208,ETHS 1208,1000
312657,Spring 2022,ECON,2018,ECON 2018,2000
312657,Spring 2022,BIOL,1039,BIOL 1039,1000
312657,Spring 2022,COMM,2518,COMM 2518,2000
312657,Spring 2022,BIOL,1039,BIOL 1039,1000
312657,Fall 2021,BIOL,1009,BIOL 1009,1000
312657,Fall 2021,BIOL,1009,BIOL 1009,1000
312657,Fall 2021,CSUB,1029,CSUB 1029,1000
312657,Fall 2021,GEOL,1009,GEOL 1009,1000
312657,Fall 2021,MATH,1010,MATH 1010,1000
312657,Fall 2021,MATH,1010,MATH 1010,1000
312657,Fall 2021,ECON,2028,ECON 2028,2000
312725,Spring 2022,HIST,1228,HIST 1228,1000
312725,Spring 2022,CHEM,1000,CHEM 1000,1000
312725,Summer 2022,PLSI,1018,PLSI 1018,1000
312725,Spring 2022,BIOL,2010,BIOL 2010,2000
312725,Spring 2022,BIOL,2010,BIOL 2010,2000
312725,Spring 2022,PHIL,2329,PHIL 2329,2000
312725,Spring 2022,THTR,1008,THTR 1008,1000
312725,Fall 2021,COMM,1008,COMM 1008,1000
312725,Fall 2021,MATH,1050,MATH 1050,1000
312725,Fall 2021,MATH,1050,MATH 1050,1000
312725,Fall 2021,CHEM,1010,CHEM 1010,1000
312725,Fall 2021,PHIL,1019,PHIL 1019,1000
312725,Fall 2021,CSUB,1029,CSUB 1029,1000
313141,Spring 2022,ACCT,2200,ACCT 2200,2000
313141,Spring 2022,ECON,2018,ECON 2018,2000
313141,Spring 2022,ECON,2200,ECON 2200,2000
313141,Spring 2022,ECON,2200,ECON 2200,2000
313141,Spring 2022,COMM,1008,COMM 1008,1000
313141,Fall 2021,CSUB,1029,CSUB 1029,1000
313141,Fall 2021,ART,1009,ART 1009,1000
313141,Fall 2021,ART,1009,ART 1009,1000
313141,Fall 2021,MATH,2200,MATH 2200,2000
313141,Fall 2021,BA,1008,BA 1008,1000
313141,Fall 2021,PHIL,1019,PHIL 1019,1000
313395,Fall 2021,BIOL,1009,BIOL 1009,1000
313395,Fall 2021,PSYC,2020,PSYC 2020,2000
313395,Fall 2021,PSYC,1018,PSYC 1018,1000
313395,Summer 2022,ART,1019,ART 1019,1000
313395,Spring 2022,PHIL,1119,PHIL 1119,1000
313395,Spring 2022,PHYS,1609,PHYS 1609,1000
313395,Spring 2022,PHYS,1609,PHYS 1609,1000
313395,Spring 2022,PSYC,2018,PSYC 2018,2000
313395,Spring 2022,PSYC,2030,PSYC 2030,2000
313395,Fall 2021,COMM,1008,COMM 1008,1000
313395,Fall 2021,SOC,2018,SOC 2018,2000
313395,Fall 2021,CSUB,1029,CSUB 1029,1000
313395,Fall 2021,BIOL,1009,BIOL 1009,1000
314329,Spring 2022,ATHL,1483,ATHL 1483,1000
314329,Fall 2021,CSUB,1029,CSUB 1029,1000
314329,Spring 2022,SCI,1600,SCI 1600,1000
314329,Spring 2022,BIOL,1009,BIOL 1009,1000
314329,Spring 2022,BIOL,1009,BIOL 1009,1000
314329,Spring 2022,KINE,1503,KINE 1503,1000
314329,Spring 2022,COMM,1008,COMM 1008,1000
314329,Spring 2022,ART,1009,ART 1009,1000
314329,Spring 2022,ART,1009,ART 1009,1000
314329,Spring 2022,KINE,1018,KINE 1018,1000
314329,Fall 2021,MATH,2120,MATH 2120,2000
314329,Fall 2021,HIST,1418,HIST 1418,1000
314329,Fall 2021,ATHL,1483,ATHL 1483,1000
314329,Fall 2021,CAFS,2000,CAFS 2000,2000
314329,Fall 2021,ENGL,1109,ENGL 1109,1000
314444,Spring 2022,BA,1008,BA 1008,1000
314444,Spring 2022,PLSI,1018,PLSI 1018,1000
314444,Spring 2022,CMPS,2010,CMPS 2010,2000
314444,Spring 2022,CMPS,2010,CMPS 2010,2000
314444,Fall 2021,CMPS,2010,CMPS 2010,2000
314444,Fall 2021,CMPS,2010,CMPS 2010,2000
314444,Spring 2022,MATH,2510,MATH 2510,2000
314444,Fall 2021,ART,1019,ART 1019,1000
314444,Fall 2021,CSUB,1029,CSUB 1029,1000
314444,Fall 2021,MATH,1040,MATH 1040,1000
314849,Spring 2022,KINE,1514,KINE 1514,1000
314849,Spring 2022,PHIL,1019,PHIL 1019,1000
314849,Spring 2022,PSYC,1018,PSYC 1018,1000
314849,Spring 2022,COMM,1008,COMM 1008,1000
314849,Spring 2022,CHEM,1000,CHEM 1000,1000
314849,Spring 2022,KINE,2000,KINE 2000,2000
314849,Fall 2021,ART,1019,ART 1019,1000
314849,Fall 2021,CSUB,1029,CSUB 1029,1000
